Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
1892df30-a89d-11df-bba5-000c297f1161,,RFB (Rifabutin 150mg tablet ),150mg,655f556e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189368d8-a89d-11df-bba5-000c297f1161,true,B6 (Pyridoxine),,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936a18-a89d-11df-bba5-000c297f1161,,IDV (Indinavir 400mg tablet),400mg,6549f502-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936b08-a89d-11df-bba5-000c297f1161,true,Standard tuberculosis treatment,,6562431e-977f-11e1-8993-905e29aff6c1,
18936bee-a89d-11df-bba5-000c297f1161,,LS30 (Stavudine and Lamivudine 30mg tablet),1tab(s),6561428e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936cd4-a89d-11df-bba5-000c297f1161,,Lamivir baby (Stavudine and Lamivudine 6/30mg tabl,1tab(s),6561428e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936db0-a89d-11df-bba5-000c297f1161,,Triomune baby (d4T + 3TC + NVP 6/30/50mg tablet),1tab(s),654a2bc6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936e96-a89d-11df-bba5-000c297f1161,,LPV/r (Lopinavir and Ritonavir 200/50mg tablet),1tab(s),654a2dec-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18936f72-a89d-11df-bba5-000c297f1161,,LPV/r (Lopinavir and Ritonavir 100/25mg tablet),1tab(s),654a2dec-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893704e-a89d-11df-bba5-000c297f1161,,CFZ (Clofazimine 100mg tablet),100mg,6559ab46-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937134-a89d-11df-bba5-000c297f1161,,Pyridoxine (50mg),50mg,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937210-a89d-11df-bba5-000c297f1161,,Pyridoxine (100mg),100mg,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893763e-a89d-11df-bba5-000c297f1161,,Pyridoxine (300mg),300mg,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18937724-a89d-11df-bba5-000c297f1161,,LFX (Levofloxacin 250mg tablet),250mg,6549fb6a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893780a-a89d-11df-bba5-000c297f1161,,OFX (Ofloxacin 200mg tablet),200mg,6559b186-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189378e6-a89d-11df-bba5-000c297f1161,,OFX (Ofloxacin 300mg tablet),300mg,6559b186-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
