Southern|Balaka|Kalembo|Pyole
Southern|Balaka|Kalembo|Saidi Sani
Southern|Balaka|Kalembo|Saiwala
Southern|Balaka|Kalembo|Silili
Southern|Balaka|Kalembo|Sinkileya
Southern|Balaka|Kalembo|Siyaya
Southern|Balaka|Kalembo|Sumani
Southern|Balaka|Kalembo|Tambala
Southern|Balaka|Kalembo|Tole
Southern|Balaka|Kalembo|Wala
Southern|Balaka|Kalembo|William (Ngasale)
Southern|Balaka|Kalembo|Zalengela
Southern|Balaka|Kalembo|Zimbota
Southern|Balaka|Nsamala|Amontsute
Southern|Balaka|Nsamala|Anderson
Southern|Balaka|Nsamala|Ayanjaawo
Southern|Balaka|Nsamala|Bamusi
Southern|Balaka|Nsamala|Beaton Na
Southern|Balaka|Nsamala|Benard
Southern|Balaka|Nsamala|Beni
Southern|Balaka|Nsamala|Bisani
Southern|Balaka|Nsamala|Bonongwe
Southern|Balaka|Nsamala|Bowazi
Southern|Balaka|Nsamala|Buleya
Southern|Balaka|Nsamala|Bwanali
Southern|Balaka|Nsamala|Chakhanza
Southern|Balaka|Nsamala|Chamba
Southern|Balaka|Nsamala|Chambo
Southern|Balaka|Nsamala|Chambulika
Southern|Balaka|Nsamala|Chambuluka
Southern|Balaka|Nsamala|Chamnthunya
Southern|Balaka|Nsamala|Chamthunya
Southern|Balaka|Nsamala|Chanthunya
Southern|Balaka|Nsamala|Chapita
Southern|Balaka|Nsamala|Chasinda
Southern|Balaka|Nsamala|Chasuchi l
Southern|Balaka|Nsamala|Chigaga
Southern|Balaka|Nsamala|Chikamana
Southern|Balaka|Nsamala|Chikamela
Southern|Balaka|Nsamala|Chikolole
Southern|Balaka|Nsamala|Chikonga
Southern|Balaka|Nsamala|Chikuse
Southern|Balaka|Nsamala|Chikwekwe
Southern|Balaka|Nsamala|Chilanga
Southern|Balaka|Nsamala|Chilembwe
Southern|Balaka|Nsamala|Chilumba
Southern|Balaka|Nsamala|Chimatiro
Southern|Balaka|Nsamala|Chimpakata
Southern|Balaka|Nsamala|Chimpakati
Southern|Balaka|Nsamala|Chimpikizo
Southern|Balaka|Nsamala|Chimwala
Southern|Balaka|Nsamala|Chingagwe
Southern|Balaka|Nsamala|Chingawa
Southern|Balaka|Nsamala|Chingondo
Southern|Balaka|Nsamala|Chinkwakwa
Southern|Balaka|Nsamala|Chinkwita
Southern|Balaka|Nsamala|Chintende
Southern|Balaka|Nsamala|Chiongole
Southern|Balaka|Nsamala|Chipakati
Southern|Balaka|Nsamala|Chipalami
Southern|Balaka|Nsamala|Chipikizo
Southern|Balaka|Nsamala|Chipote
Southern|Balaka|Nsamala|Chipoyo
Southern|Balaka|Nsamala|Chipumi
Southern|Balaka|Nsamala|Chipwele
Southern|Balaka|Nsamala|Chirimba
Southern|Balaka|Nsamala|Chisawasa
Southern|Balaka|Nsamala|Chisinkha
Southern|Balaka|Nsamala|Chitala
Southern|Balaka|Nsamala|Chitale Estate
Southern|Balaka|Nsamala|Chitimbe
Southern|Balaka|Nsamala|Chiuja
Southern|Balaka|Nsamala|Chiwala
Southern|Balaka|Nsamala|Chiwaya
Southern|Balaka|Nsamala|Chiwaya B
Southern|Balaka|Nsamala|Chiwele
Southern|Balaka|Nsamala|Chiyembeke
Southern|Balaka|Nsamala|Chiyembeko
Southern|Balaka|Nsamala|Chiyendausiku Trading Centre
Southern|Balaka|Nsamala|Chizinga
Southern|Balaka|Nsamala|Chizungu
Southern|Balaka|Nsamala|Chona
Southern|Balaka|Nsamala|Disi
Southern|Balaka|Nsamala|Dulani
Southern|Balaka|Nsamala|Gambe (Ch
Southern|Balaka|Nsamala|Golowa
Southern|Balaka|Nsamala|Govati
Southern|Balaka|Nsamala|Gwaladi Trading Centre
Southern|Balaka|Nsamala|Hanjahanja
Southern|Balaka|Nsamala|Hawu
Southern|Balaka|Nsamala|Hawu A
Southern|Balaka|Nsamala|Jailosi
Southern|Balaka|Nsamala|Jambawe
Southern|Balaka|Nsamala|James
Southern|Balaka|Nsamala|James B
Southern|Balaka|Nsamala|Jana
